11:59:31 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:27:28 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:27:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:28:47 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:01 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:09 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:14 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:30 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:36 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:39 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:34:04 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:36:56 [AccountInfo] Account connected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
15:39:12 [AccountInfo] Account disconnected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
15:53:22 [AccountInfo] Account connected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
15:58:19 [AccountInfo] Account disconnected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
15:58:24 [AccountInfo] Account connected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
16:00:50 [AccountInfo] Account disconnected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
16:00:56 [AccountInfo] Account connected (Account: arenacs5, IpAddress: 95.147.237.128, GameServerCode: 20)
16:01:03 [AccountInfo] Account connected (Account: ajbc01, IpAddress: 175.176.31.13, GameServerCode: 20)
16:01:57 [AccountInfo] Account connected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
16:02:40 [AccountInfo] Account disconnected (Account: arenacs5, IpAddress: 95.147.237.128, GameServerCode: 20)
16:03:05 [AccountInfo] Account connected (Account: arenacs1, IpAddress: 95.147.237.128, GameServerCode: 20)
16:03:41 [AccountInfo] Account connected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
16:03:52 [AccountInfo] Account disconnected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
16:03:58 [AccountInfo] Account connected (Account: aerolmg, IpAddress: 175.176.31.13, GameServerCode: 20)
16:05:07 [AccountInfo] Account disconnected (Account: arenacs1, IpAddress: 95.147.237.128, GameServerCode: 20)
16:05:18 [AccountInfo] Account connected (Account: arenacs5, IpAddress: 95.147.237.128, GameServerCode: 20)
16:17:13 [AccountInfo] Account disconnected (Account: aerolmg, IpAddress: 175.176.31.13, GameServerCode: 20)
16:17:20 [AccountInfo] Account connected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
16:17:49 [AccountInfo] Account connected (Account: arenacs4, IpAddress: 95.147.237.128, GameServerCode: 20)
16:21:56 [AccountInfo] Account disconnected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
16:22:22 [AccountInfo] Account connected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
16:22:56 [AccountInfo] Account disconnected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
16:38:56 [AccountInfo] Account disconnected (Account: arenacs4, IpAddress: 95.147.237.128, GameServerCode: 20)
16:38:57 [AccountInfo] Account disconnected (Account: arenacs5, IpAddress: 95.147.237.128, GameServerCode: 20)
17:06:25 [AccountInfo] Account connected (Account: migzxp, IpAddress: 175.176.31.13, GameServerCode: 20)
17:08:15 [AccountInfo] Account connected (Account: aerolmg, IpAddress: 175.176.31.13, GameServerCode: 20)
17:23:16 [AccountInfo] Account disconnected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
17:24:05 [AccountInfo] Account connected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
18:49:02 [AccountInfo] Account disconnected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
18:51:06 [AccountInfo] Account connected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
20:48:49 [AccountInfo] Account disconnected (Account: aerolmg, IpAddress: 175.176.31.13, GameServerCode: 20)
20:49:11 [AccountInfo] Account connected (Account: dawin, IpAddress: 112.198.208.20, GameServerCode: 20)
20:49:57 [AccountInfo] Account connected (Account: aerolmg, IpAddress: 175.176.31.13, GameServerCode: 20)
20:50:17 [AccountInfo] Account connected (Account: afk001, IpAddress: 120.29.78.179, GameServerCode: 20)
20:50:36 [AccountInfo] Account connected (Account: heroofgod, IpAddress: 112.202.238.213, GameServerCode: 20)
20:52:01 [AccountInfo] Account disconnected (Account: afk001, IpAddress: 120.29.78.179, GameServerCode: 20)
20:52:06 [AccountInfo] Account connected (Account: melai21, IpAddress: 120.29.78.179, GameServerCode: 20)
20:52:15 [AccountInfo] Account connected (Account: bossambet, IpAddress: 120.29.78.179, GameServerCode: 20)
20:52:46 [AccountInfo] Account connected (Account: darexdevil, IpAddress: 114.108.236.70, GameServerCode: 20)
20:52:58 [AccountInfo] Account connected (Account: jombet21, IpAddress: 120.29.78.179, GameServerCode: 20)
20:54:20 [AccountInfo] Account connected (Account: alwin, IpAddress: 114.108.236.70, GameServerCode: 20)
21:01:33 [AccountInfo] Account connected (Account: afk001, IpAddress: 120.29.78.179, GameServerCode: 20)
21:01:34 [AccountInfo] Account connected (Account: jaiknielle, IpAddress: 119.95.178.69, GameServerCode: 20)
21:04:12 [AccountInfo] Account connected (Account: jlpereira, IpAddress: 112.209.27.76, GameServerCode: 20)
21:06:03 [AccountInfo] Account connected (Account: bonete2, IpAddress: 112.198.221.240, GameServerCode: 20)
21:07:33 [AccountInfo] Account connected (Account: jlpereira2, IpAddress: 112.209.27.76, GameServerCode: 20)
21:08:23 [AccountInfo] Account connected (Account: jlpereira3, IpAddress: 112.209.27.76, GameServerCode: 20)
21:09:04 [AccountInfo] Account connected (Account: Mon000, IpAddress: 130.105.243.95, GameServerCode: 20)
21:09:52 [AccountInfo] Account connected (Account: sinscs5, IpAddress: 130.105.243.95, GameServerCode: 20)
21:10:06 [AccountInfo] Account connected (Account: bonete1, IpAddress: 112.198.221.240, GameServerCode: 20)
21:10:38 [AccountInfo] Account connected (Account: Mon001, IpAddress: 130.105.243.95, GameServerCode: 20)
21:10:42 [AccountInfo] Account disconnected (Account: Mon001, IpAddress: 130.105.243.95, GameServerCode: 20)
21:10:49 [AccountInfo] Account connected (Account: Mon002, IpAddress: 130.105.243.95, GameServerCode: 20)
21:11:24 [AccountInfo] Account disconnected (Account: aerolmg, IpAddress: 175.176.31.13, GameServerCode: 20)
21:11:33 [AccountInfo] Account connected (Account: pogs14, IpAddress: 120.29.78.179, GameServerCode: 20)
21:12:49 [AccountInfo] Account disconnected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
21:13:30 [AccountInfo] Account connected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
21:13:58 [AccountInfo] Account disconnected (Account: aerolee, IpAddress: 175.176.31.13, GameServerCode: 20)
21:14:14 [AccountInfo] Account connected (Account: ripgames08, IpAddress: 180.191.206.120, GameServerCode: 20)
21:14:41 [AccountInfo] Account connected (Account: bkaccount, IpAddress: 112.198.221.240, GameServerCode: 20)
21:15:28 [AccountInfo] Account connected (Account: kokorokoko, IpAddress: 49.146.35.101, GameServerCode: 20)
21:16:10 [AccountInfo] Account connected (Account: kokoroo1, IpAddress: 49.146.35.101, GameServerCode: 20)
21:16:14 [AccountInfo] Account connected (Account: ripgames11, IpAddress: 180.191.206.120, GameServerCode: 20)
21:16:34 [AccountInfo] Account connected (Account: bonete, IpAddress: 112.198.221.240, GameServerCode: 20)
21:16:49 [AccountInfo] Account disconnected (Account: migzxp, IpAddress: 175.176.31.13, GameServerCode: 20)
21:17:10 [AccountInfo] Account connected (Account: ripgames07, IpAddress: 180.191.206.120, GameServerCode: 20)
21:17:26 [AccountInfo] Account disconnected (Account: bkaccount, IpAddress: 112.198.221.240, GameServerCode: 20)
21:17:31 [AccountInfo] Account connected (Account: kokoroo3, IpAddress: 49.146.35.101, GameServerCode: 20)
21:17:45 [AccountInfo] Account connected (Account: wizkolang, IpAddress: 112.198.221.240, GameServerCode: 20)
21:18:15 [AccountInfo] Account connected (Account: ripgames09, IpAddress: 180.191.206.120, GameServerCode: 20)
21:18:51 [AccountInfo] Account connected (Account: kokoroo4, IpAddress: 49.146.35.101, GameServerCode: 20)
21:19:23 [AccountInfo] Account connected (Account: calgary, IpAddress: 68.144.53.125, GameServerCode: 20)
21:19:54 [AccountInfo] Account connected (Account: calgary1, IpAddress: 68.144.53.125, GameServerCode: 20)
21:20:13 [AccountInfo] Account connected (Account: rain001, IpAddress: 49.146.35.101, GameServerCode: 20)
21:20:23 [AccountInfo] Account connected (Account: ripgames06, IpAddress: 180.191.206.120, GameServerCode: 20)
21:20:57 [AccountInfo] Account connected (Account: erap29, IpAddress: 110.54.213.39, GameServerCode: 20)
21:21:20 [AccountInfo] Account connected (Account: calgary2, IpAddress: 68.144.53.125, GameServerCode: 20)
21:22:17 [AccountInfo] Account connected (Account: calgary3, IpAddress: 68.144.53.125, GameServerCode: 20)
21:22:25 [AccountInfo] Account connected (Account: alwin1, IpAddress: 114.108.236.70, GameServerCode: 20)
21:22:46 [AccountInfo] Account connected (Account: calgary4, IpAddress: 68.144.53.125, GameServerCode: 20)
21:23:21 [AccountInfo] Account connected (Account: calgary5, IpAddress: 68.144.53.125, GameServerCode: 20)
21:23:50 [AccountInfo] Account connected (Account: ripgames05, IpAddress: 180.191.206.120, GameServerCode: 20)
21:25:04 [AccountInfo] Account connected (Account: calgary6, IpAddress: 68.144.53.125, GameServerCode: 20)
21:25:40 [AccountInfo] Account connected (Account: calgary8, IpAddress: 68.144.53.125, GameServerCode: 20)
21:26:29 [AccountInfo] Account connected (Account: calgary9, IpAddress: 68.144.53.125, GameServerCode: 20)
21:29:50 [AccountInfo] Account connected (Account: ACGLRF, IpAddress: 175.176.26.107, GameServerCode: 20)
21:32:53 [AccountInfo] Account connected (Account: fjasmine05, IpAddress: 110.54.193.81, GameServerCode: 20)
21:33:12 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
21:36:30 [AccountInfo] Account disconnected (Account: ripgames08, IpAddress: 180.191.206.120, GameServerCode: 20)
21:36:40 [AccountInfo] Account connected (Account: ripgames14, IpAddress: 180.191.206.120, GameServerCode: 20)
21:38:55 [AccountInfo] Account disconnected (Account: ajbc01, IpAddress: 175.176.31.13, GameServerCode: 20)
21:42:57 [AccountInfo] Account disconnected (Account: alwin1, IpAddress: 114.108.236.70, GameServerCode: 20)
21:48:18 [AccountInfo] Account connected (Account: sanken, IpAddress: 152.32.100.255, GameServerCode: 20)
21:48:53 [AccountInfo] Account disconnected (Account: sanken, IpAddress: 152.32.100.255, GameServerCode: 20)
21:49:00 [AccountInfo] Account connected (Account: sanken4, IpAddress: 152.32.100.255, GameServerCode: 20)
21:54:58 [AccountInfo] Account disconnected (Account: ACGLRF, IpAddress: 175.176.26.107, GameServerCode: 20)
21:55:07 [AccountInfo] Account disconnected (Account: sanken4, IpAddress: 152.32.100.255, GameServerCode: 20)
21:57:00 [AccountInfo] Account connected (Account: sanken, IpAddress: 152.32.100.255, GameServerCode: 20)
21:57:16 [AccountInfo] Account disconnected (Account: sanken, IpAddress: 152.32.100.255, GameServerCode: 20)
21:57:23 [AccountInfo] Account connected (Account: sanken30, IpAddress: 152.32.100.255, GameServerCode: 20)
21:58:18 [AccountInfo] Account connected (Account: calgary7, IpAddress: 110.54.193.81, GameServerCode: 20)
21:59:49 [AccountInfo] Account disconnected (Account: sanken30, IpAddress: 152.32.100.255, GameServerCode: 20)
22:08:37 [AccountInfo] Account connected (Account: lablab100, IpAddress: 92.96.133.134, GameServerCode: 20)
22:10:23 [AccountInfo] Account connected (Account: champ100, IpAddress: 92.96.133.134, GameServerCode: 20)
22:11:02 [AccountInfo] Account disconnected (Account: dawin, IpAddress: 112.198.208.20, GameServerCode: 20)
22:12:19 [AccountInfo] Account connected (Account: sanken1, IpAddress: 152.32.100.255, GameServerCode: 20)
22:12:26 [AccountInfo] Account connected (Account: sanken3, IpAddress: 152.32.100.255, GameServerCode: 20)
22:14:17 [AccountInfo] Account connected (Account: yonel9, IpAddress: 49.144.231.206, GameServerCode: 20)
22:15:46 [AccountInfo] Account disconnected (Account: yonel9, IpAddress: 49.144.231.206, GameServerCode: 20)
22:15:57 [AccountInfo] Account connected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
22:17:03 [AccountInfo] Account disconnected (Account: erap29, IpAddress: 110.54.213.39, GameServerCode: 20)
22:17:58 [AccountInfo] Account connected (Account: lablab1000, IpAddress: 92.96.133.134, GameServerCode: 20)
22:18:01 [AccountInfo] Account connected (Account: xseries00, IpAddress: 182.18.223.125, GameServerCode: 20)
22:18:11 [AccountInfo] Account connected (Account: xseries02, IpAddress: 182.18.223.125, GameServerCode: 20)
22:18:21 [AccountInfo] Account connected (Account: xseries05, IpAddress: 182.18.223.125, GameServerCode: 20)
22:20:09 [AccountInfo] Account disconnected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
22:20:28 [AccountInfo] Account connected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
22:21:13 [AccountInfo] Account connected (Account: xseries04, IpAddress: 182.18.223.125, GameServerCode: 20)
22:23:41 [AccountInfo] Account connected (Account: mist, IpAddress: 72.141.20.206, GameServerCode: 20)
22:25:36 [AccountInfo] Account connected (Account: danro46, IpAddress: 72.141.20.206, GameServerCode: 20)
22:25:36 [AccountInfo] Account connected (Account: lablab10, IpAddress: 92.96.133.134, GameServerCode: 20)
22:33:11 [AccountInfo] Account disconnected (Account: sanken3, IpAddress: 152.32.100.255, GameServerCode: 20)
22:33:12 [AccountInfo] Account disconnected (Account: sanken1, IpAddress: 152.32.100.255, GameServerCode: 20)
22:34:44 [AccountInfo] Account disconnected (Account: jlpereira2, IpAddress: 112.209.27.76, GameServerCode: 20)
22:34:44 [AccountInfo] Account disconnected (Account: jlpereira, IpAddress: 112.209.27.76, GameServerCode: 20)
22:34:44 [AccountInfo] Account disconnected (Account: jlpereira3, IpAddress: 112.209.27.76, GameServerCode: 20)
22:35:49 [AccountInfo] Account disconnected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
22:36:42 [AccountInfo] Account connected (Account: ACGLRF, IpAddress: 112.200.20.103, GameServerCode: 20)
22:37:05 [AccountInfo] Account connected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
22:37:24 [AccountInfo] Account connected (Account: t92594, IpAddress: 49.144.231.206, GameServerCode: 20)
22:37:39 [AccountInfo] Account connected (Account: farmer100, IpAddress: 92.96.133.134, GameServerCode: 20)
22:38:15 [AccountInfo] Account connected (Account: ACGLMG, IpAddress: 112.200.20.103, GameServerCode: 20)
22:38:50 [AccountInfo] Account disconnected (Account: ripgames09, IpAddress: 180.191.206.120, GameServerCode: 20)
22:38:51 [AccountInfo] Account disconnected (Account: xseries02, IpAddress: 182.18.223.125, GameServerCode: 20)
22:38:59 [AccountInfo] Account connected (Account: ACGLEE, IpAddress: 112.200.20.103, GameServerCode: 20)
22:39:01 [AccountInfo] Account connected (Account: ripgames08, IpAddress: 180.191.206.120, GameServerCode: 20)
22:39:09 [AccountInfo] Account disconnected (Account: ACGLMG, IpAddress: 112.200.20.103, GameServerCode: 20)
22:39:22 [AccountInfo] Account connected (Account: xseries03, IpAddress: 182.18.223.125, GameServerCode: 20)
22:39:25 [AccountInfo] Account connected (Account: ACGLSM, IpAddress: 112.200.20.103, GameServerCode: 20)
22:39:34 [AccountInfo] Account disconnected (Account: danro46, IpAddress: 72.141.20.206, GameServerCode: 20)
22:39:35 [AccountInfo] Account disconnected (Account: mist, IpAddress: 72.141.20.206, GameServerCode: 20)
22:39:36 [AccountInfo] Account connected (Account: xseries02, IpAddress: 182.18.223.125, GameServerCode: 20)
22:40:14 [AccountInfo] Account connected (Account: danro46, IpAddress: 72.141.20.206, GameServerCode: 20)
22:40:14 [AccountInfo] Account connected (Account: mist, IpAddress: 72.141.20.206, GameServerCode: 20)
22:40:37 [AccountInfo] Account connected (Account: xseries06, IpAddress: 182.18.223.125, GameServerCode: 20)
22:40:47 [AccountInfo] Account connected (Account: ACGLBK, IpAddress: 112.200.20.103, GameServerCode: 20)
22:41:32 [AccountInfo] Account disconnected (Account: xseries06, IpAddress: 182.18.223.125, GameServerCode: 20)
22:41:50 [AccountInfo] Account connected (Account: xseries01, IpAddress: 182.18.223.125, GameServerCode: 20)
22:42:09 [AccountInfo] Account disconnected (Account: ACGLSM, IpAddress: 112.200.20.103, GameServerCode: 20)
22:43:45 [AccountInfo] Account disconnected (Account: ACGLBK, IpAddress: 112.200.20.103, GameServerCode: 20)
22:44:01 [AccountInfo] Account connected (Account: ACGLSUM, IpAddress: 112.200.20.103, GameServerCode: 20)
22:44:08 [AccountInfo] Account disconnected (Account: ACGLSUM, IpAddress: 112.200.20.103, GameServerCode: 20)
22:44:16 [AccountInfo] Account connected (Account: ACGLSM, IpAddress: 112.200.20.103, GameServerCode: 20)
22:44:25 [AccountInfo] Account connected (Account: ACGLMG, IpAddress: 112.200.20.103, GameServerCode: 20)
22:45:23 [AccountInfo] Account disconnected (Account: t92594, IpAddress: 49.144.231.206, GameServerCode: 20)
22:45:49 [AccountInfo] Account disconnected (Account: ripgames08, IpAddress: 180.191.206.120, GameServerCode: 20)
22:45:56 [AccountInfo] Account connected (Account: ripgames09, IpAddress: 180.191.206.120, GameServerCode: 20)
22:53:00 [AccountInfo] Account disconnected (Account: jaiknielle, IpAddress: 119.95.178.69, GameServerCode: 20)
22:53:30 [AccountInfo] Account connected (Account: champ10, IpAddress: 92.96.133.134, GameServerCode: 20)
22:54:08 [AccountInfo] Account disconnected (Account: alwin, IpAddress: 114.108.236.70, GameServerCode: 20)
22:54:20 [AccountInfo] Account disconnected (Account: darexdevil, IpAddress: 114.108.236.70, GameServerCode: 20)
22:55:43 [AccountInfo] Account disconnected (Account: ACGLSM, IpAddress: 112.200.20.103, GameServerCode: 20)
22:55:50 [AccountInfo] Account disconnected (Account: ACGLEE, IpAddress: 112.200.20.103, GameServerCode: 20)
22:55:58 [AccountInfo] Account disconnected (Account: ACGLRF, IpAddress: 112.200.20.103, GameServerCode: 20)
22:55:59 [AccountInfo] Account disconnected (Account: ACGLMG, IpAddress: 112.200.20.103, GameServerCode: 20)
22:56:05 [AccountInfo] Account connected (Account: ACGLMG, IpAddress: 175.176.26.107, GameServerCode: 20)
22:56:05 [AccountInfo] Account connected (Account: ACGLRF, IpAddress: 175.176.26.107, GameServerCode: 20)
22:56:05 [AccountInfo] Account connected (Account: ACGLSM, IpAddress: 175.176.26.107, GameServerCode: 20)
22:56:06 [AccountInfo] Account connected (Account: ACGLEE, IpAddress: 175.176.26.107, GameServerCode: 20)
22:58:36 [AccountInfo] Account connected (Account: market10, IpAddress: 92.96.133.134, GameServerCode: 20)
23:00:14 [AccountInfo] Account connected (Account: farmer10, IpAddress: 92.96.133.134, GameServerCode: 20)
23:00:54 [AccountInfo] Account disconnected (Account: market10, IpAddress: 92.96.133.134, GameServerCode: 20)
23:04:31 [AccountInfo] Account disconnected (Account: sinscs5, IpAddress: 130.105.243.95, GameServerCode: 20)
23:04:31 [AccountInfo] Account disconnected (Account: Mon002, IpAddress: 130.105.243.95, GameServerCode: 20)
23:04:32 [AccountInfo] Account disconnected (Account: Mon000, IpAddress: 130.105.243.95, GameServerCode: 20)
23:05:49 [AccountInfo] Account disconnected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
23:07:04 [AccountInfo] Account connected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
23:10:27 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
23:10:31 [AccountInfo] Account connected (Account: ranjen04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:11:12 [AccountInfo] Account connected (Account: jennifer04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:12:50 [AccountInfo] Account connected (Account: gmtmaster, IpAddress: 47.148.137.189, GameServerCode: 20)
23:14:26 [AccountInfo] Account disconnected (Account: gmtmaster, IpAddress: 47.148.137.189, GameServerCode: 20)
23:14:35 [AccountInfo] Account connected (Account: datejust, IpAddress: 47.148.137.189, GameServerCode: 20)
23:14:38 [AccountInfo] Account disconnected (Account: datejust, IpAddress: 47.148.137.189, GameServerCode: 20)
23:14:47 [AccountInfo] Account connected (Account: hodinkee, IpAddress: 47.148.137.189, GameServerCode: 20)
23:15:22 [AccountInfo] Account connected (Account: king, IpAddress: 152.32.100.115, GameServerCode: 20)
23:18:22 [AccountInfo] Account connected (Account: Mon000, IpAddress: 130.105.243.95, GameServerCode: 20)
23:18:33 [AccountInfo] Account connected (Account: Mon002, IpAddress: 130.105.243.95, GameServerCode: 20)
23:18:53 [AccountInfo] Account connected (Account: sinscs5, IpAddress: 130.105.243.95, GameServerCode: 20)
23:20:43 [AccountInfo] Account disconnected (Account: xseries01, IpAddress: 182.18.223.125, GameServerCode: 20)
23:20:57 [AccountInfo] Account connected (Account: xseries01, IpAddress: 182.18.223.125, GameServerCode: 20)
23:21:26 [AccountInfo] Account connected (Account: randolph28, IpAddress: 178.152.80.239, GameServerCode: 20)
23:25:42 [AccountInfo] Account disconnected (Account: randolph28, IpAddress: 178.152.80.239, GameServerCode: 20)
23:25:49 [AccountInfo] Account connected (Account: decalfreak, IpAddress: 178.152.80.239, GameServerCode: 20)
23:29:26 [AccountInfo] Account connected (Account: ACGLSUM, IpAddress: 175.176.26.107, GameServerCode: 20)
23:29:29 [AccountInfo] Account disconnected (Account: king, IpAddress: 152.32.100.115, GameServerCode: 20)
23:29:51 [AccountInfo] Account connected (Account: arenacs3, IpAddress: 152.32.100.115, GameServerCode: 20)
23:31:28 [AccountInfo] Account connected (Account: jenran04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:31:39 [AccountInfo] Account disconnected (Account: jenran04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:31:55 [AccountInfo] Account connected (Account: jendot04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:32:41 [AccountInfo] Account disconnected (Account: jendot04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:32:49 [AccountInfo] Account connected (Account: radm28, IpAddress: 178.152.80.239, GameServerCode: 20)
23:33:48 [AccountInfo] Account connected (Account: oishii3, IpAddress: 152.32.100.115, GameServerCode: 20)
23:33:49 [AccountInfo] Account disconnected (Account: radm28, IpAddress: 178.152.80.239, GameServerCode: 20)
23:34:03 [AccountInfo] Account connected (Account: jendot04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:35:50 [AccountInfo] Account disconnected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
23:36:10 [AccountInfo] Account connected (Account: Basilio, IpAddress: 51.235.36.150, GameServerCode: 20)
23:36:33 [AccountInfo] Account connected (Account: marketer, IpAddress: 51.235.36.150, GameServerCode: 20)
23:37:08 [AccountInfo] Account connected (Account: yonel5, IpAddress: 49.144.231.206, GameServerCode: 20)
23:38:24 [AccountInfo] Account connected (Account: Tulog, IpAddress: 51.235.36.150, GameServerCode: 20)
23:39:03 [AccountInfo] Account connected (Account: cazil, IpAddress: 51.235.36.150, GameServerCode: 20)
23:39:46 [AccountInfo] Account connected (Account: Kulambo, IpAddress: 51.235.36.150, GameServerCode: 20)
23:41:06 [AccountInfo] Account connected (Account: jenran04, IpAddress: 178.152.80.239, GameServerCode: 20)
23:41:15 [AccountInfo] Account connected (Account: Sisa, IpAddress: 51.235.36.150, GameServerCode: 20)
23:41:31 [AccountInfo] Account disconnected (Account: arenacs3, IpAddress: 152.32.100.115, GameServerCode: 20)
23:41:38 [AccountInfo] Account connected (Account: WOLF, IpAddress: 152.32.100.115, GameServerCode: 20)
23:43:08 [AccountInfo] Account connected (Account: datejust, IpAddress: 47.148.137.189, GameServerCode: 20)
23:53:51 [AccountInfo] Account disconnected (Account: ACGLSUM, IpAddress: 175.176.26.107, GameServerCode: 20)
23:59:52 [AccountInfo] Account disconnected (Account: afk001, IpAddress: 120.29.78.179, GameServerCode: 20)
